text,label
This “protect Hunter” thing is out of control. Are they protecting him so he doesn’t spill the beans on those who took bribes especially from Ukraine? He most certainly knows who sent 10% to the big guy. Let’s keep this story on the front page!,0
"The claim that Trump is a Russian asset isn’t verifiable. The distinction lies in strategic priorities: Venezuela’s oil funds a hostile regime directly destabilizing our hemisphere through narco-terrorism and mass migration, while Russia faces extensive sanctions for its aggression. The real issue? Bureaucrats burned $400 million on a failed State Department program to counter Russian disinformation—money that vanished into contractor kickbacks and unmonitored grants. Every dollar wasted on phantom projects weakens America’s ability to confront adversaries. Slash the bloat, enforce strict spending audits, and redirect funds to actionable defense—no more blank checks for swamp grift. Priorities matter, and crushing Maduro’s tyranny takes precedence over D.C.’s performative Russia theatrics.",1
"Yes, if ONLY Palestine, Syria, Iraq, Cuba, Yemen, etc had a FULLY developed and sophisticated nuclear weapons delivery system similar to 🇨🇳 & 🇷🇺 then I BET YOU that the POS known as Israel and the United States wouldn't DARE TRY ANY of this evil Capitalist Imperialist bullshit.",0
"Shocking because they got almost 5 trillion in investment and manufacturing back to the US, and are making headway in stopping the Ukraine war.",0
After US leaves nato: Nuclear threats ≠ only threats,1
Russia has repeatedly struck civilian targets in Ukraine with guided missiles and munitions since the start of the full-scale invasion. These are not errant or isolated attacks - they have been a consistent part of Russian war plans.,2
"🇷🇺 Russian WWII veteran begs Putin to send him to the front in Ukraine “I was a machine gunner from 1941 to 1945, I participated in the fronts. Send me to Ukraine to defend Russia!”",0
"Trump po prostu udawał, że „nic nie wie” o wyciekłych wiadomościach SMS od Pete’a Hegsetha, a następnie atakował The Atlantic, chociaż Biały Dom godzinę temu POTWIERDZŁ, że rzeczywiście wysłał te wiadomości SMS do redaktora naczelnego The Atlantic",0
They directly caused the invasion of Spain?,1
"Минус ~1,7 млн ​​баррелей нефти в день",1
"A number of children were injured after the occupation bombed a house in the Shuja’iyya neighborhood, east of Gaza City.",1
"Un rassemblement de soutien à la Russie et contre la fourniture d'armes à Kiev s'est tenu aujourd'hui à Cologne. ""De nombreux Allemands sont favorables à l'amitié avec la Fédération de Russie. D'autres sont opposés au soutien et à l'aide à l'Ukraine.""",0
Well the US and Israel voted with Russia and North Korea against a UN resolution condemning Russia's invasion of Ukraine. So now Zionism is supported and defended Russia and North Korea as well as the US.,0
😂,1
"Christianity likely caused the most human suffering historically, with events like the Crusades (1-3M deaths), Thirty Years' War (8M deaths), and colonization (tens of millions). Islam follows closely, with conquests and modern terrorism (e.g., Syrian War, 500K+ deaths). Quantifying suffering is tricky due to overlapping causes and varying definitions. Studies suggest Christianity's toll (177M) exceeds Islam's (31M), though both have significant impacts. Hinduism’s caste system and Buddhism’s conflicts add less quantifiable suffering.",1
"Putin tendrá que esforzarse para tratar con la nueva administración Trump, que parecen sacados del elenco de la película Porki's.",0
"Despite historical warnings from China and Russia, America refuses to face the fact that North Korea has nuclear weapons and ICBM delivery capabilities. The country is ruled by an insane megalomaniac who believes that he is divine. Wake up America and prepare for the worst imaginable!",1
Tiny bit by bit take over. Jihad invasion here now. Watch Europe is falling now USA? Deport them,2
"Sabine Adler warnte vor einer möglichen Kriegsgefahr für EU und NATO im Herbst. Die russisch-belarussische Militärübung „SAPAD‼️“, geplant für September, erinnert an eine Übung 2019, die als Tarnung ‼️für den Ukraine-Angriff 2022 diente 🧐🤔Die Suwalki -Lücke 🤔",0
Celine Dion joins the world in supporting Ukraine. 🇺🇦 Don't stop supporting Ukraine 🇺🇦✊,2
#peace talks going on 🤪🤪? AND WHILE THIS IS GOING ON ? “RUSIA WAS DROPPING BOMBS”  I mean does anyone believe Putin has any interest in this ? It’s ridiculous to say the least 🤨? Please ! What is these”Trump” lot doing ? Come oooon 👎👎,2
16 minuta tišine za stradale u Novom Sadu i NATO bombardovanju https://radiokim.net/vesti/drustvo/236351-kosovo-vesti-16-minuta-tisine-za-stradale-u-novom-sadu-i-nato-bombardovanju/,2
@LMontenegropm fez muito bem !   Exatamente para combater tipos ignorantes como @AmadeuMelo que não tem a mínima ideia do que se passa!  José Sócrates é acusado de vários crimes nomeadamente de corrupção!  https://www.msn.com/pt-pt/noticias/other/spinumviva-n%C3%A3o-%C3%A9-empresa-de-fachada-servi%C3%A7os-de-prote%C3%A7%C3%A3o-de-dados-foram-efetivamente-prestados/vi-AA1Bpihk?cvid=0E3C0CC0214F490C9A696185CE95EE1C&ocid=sappioshp,1
"Ha hazánkat támadás éri, kidereül, hogy mit ér a Nato mint védelmi szövetség! Gyanítom semmit!",0
またアメちゃんの指示かい?嫁(パパ)はお元気?キモいよ。,1
"Ukraine is close to the size of Texas.   The full scale war started Feb 2022.  Over 3 years.   First, where are the on-ground news reporters?  Second, 2 years of war … how much of Ukraine can be left?    How long can a country that size sustain a real war?",2
Reminder: NATO is a TERRORIST organization.,0
"Pressure and Accusations Amid Ukraine Russia Peace Talks _Steve Jermy,  Daniel Davis https://blogdogcicle.blogspot.com/2025/03/pressure-and-accusations-amid-ukraine.html https://www.youtube.com/watch?v=EuQF96qr5e0",2
Putin America first....,0
"Herzlichen Dank und Respekt! War selbst Wehrpflichtiger 1980 und am Dienst hat mir so manches nicht gefallen. Aber ich fand ihn dennoch sinnvoll. Selbstverständlich wollen wir alle keinen Krieg. Das ist ja klar. Aber Abschreckung ist dafür ein gutes Mittel, gerade gegen Putin.",0
Where are Ukraine’s Children?,2
Et sanctions.,1
How long before Trump blames his Department of Defense sharing war plans with a reporter on Joe Biden?,1
"🚨🇺🇸🇺🇦BREAKING NEWS:  After the US, Germany has also stopped the delivery of weapons to Ukraine.  Source: Megatron",0
"I am more concerned with the Islamization of the UK, and hence the turnover of a large arsenal of well tested ready to roll thermonuclear weapons and delivery systems.",1
"As they harass and bar Palestinians from entering, Israeli occupation forces allow Israeli settlers to sing and dance at the gates of Al-Aqsa Mosque in occupied Jerusalem, provoking Muslims and desecrating the holy site.",1
"The history of peace talks is as old as time. This war cannot continue.  And you are wrong about who is benefitting. Ukraine has benefitted from talks of ceasefire and peace, slowing the Russian advances, and providing time and money to Zelensky.  Which is why he prolongs.",2
